Food,Drink,Type
10,8.04,bird
8,6.95,bird
13,7.58,bird
9,8.81,bird
11,8.33,bird
14,9.96,bird
6,7.24,bird
4,4.26,bird
12,10.84,bird
7,4.82,bird
5,5.68,bird
10,9.14,mammal
8,8.14,mammal
13,8.74,mammal
9,8.77,mammal
11,9.26,mammal
14,8.1,mammal
6,6.13,mammal
4,3.1,mammal
12,9.13,mammal
7,7.26,mammal
5,4.74,mammal
10,7.46,insect
8,6.77,insect
13,12.74,insect
9,7.11,insect
11,7.81,insect
14,8.84,insect
6,6.08,insect
4,5.39,insect
12,8.15,insect
7,6.42,insect
5,5.73,insect
8,6.58,reptile
8,5.76,reptile
8,7.71,reptile
8,8.84,reptile
8,8.47,reptile
8,7.04,reptile
8,5.25,reptile
19,12.5,reptile
8,5.56,reptile
8,7.91,reptile
8,6.89,reptile
