Survival,Sex,Mass2,BroodSize,JulianDate
1,F,3.5,3,73
1,M,4.25,3,73
1,F,4.25,3,73
0,F,5.75,3,73
0,M,3.75,3,73
1,M,2.75,5,74
1,M,3.5,5,74
1,F,4,5,74
1,F,3.75,5,74
1,F,3.5,5,74
0,F,6.5,1,73
1,M,4.25,5,74
0,M,4,5,74
0,M,3.5,5,74
0,F,1.75,5,74
0,F,5.5,1,73
0,M,3.25,1,75
1,M,5.75,4,75
1,M,4,4,75
1,M,5.75,4,75
0,F,3.5,4,75
0,M,4.75,4,75
1,M,6,4,75
1,M,6.25,4,75
0,F,3,4,75
0,F,3.75,4,76
1,F,3.75,4,76
1,M,3.25,4,76
1,M,2.75,4,76
0,M,3.25,5,76
0,F,4,5,76
0,F,3.25,5,76
0,M,3.75,5,76
0,F,3,5,76
1,F,5,4,76
1,F,5,4,76
1,M,4.75,4,76
1,M,2.75,4,76
1,M,5.25,3,76
1,M,4.5,3,76
0,F,2.5,3,76
1,F,4.25,3,76
1,F,5.5,3,76
0,F,2.5,3,76
1,F,4.75,5,77
1,F,4.5,5,77
0,F,3.5,5,77
0,F,3,5,77
1,M,5,2,78
1,F,5.5,2,78
1,F,3.25,3,80
1,F,5.5,4,81
1,M,5,4,81
1,F,4.25,4,81
1,M,3.5,2,82
1,M,3.25,2,82
1,F,3.75,4,82
1,M,4,4,82
1,F,4.25,4,82
1,F,2.75,4,82
0,F,4,3,83
0,F,4.25,3,83
0,F,3.75,3,83
1,M,5.5,4,89
1,F,4.5,4,89
0,M,3.75,4,89
1,F,3.75,4,90
0,M,3.5,4,90
0,M,4.25,4,90
0,M,2.25,4,90
1,F,3.25,5,90
1,F,3.25,5,90
1,F,4,5,90
1,F,3.75,5,90
1,F,2,5,90
1,F,2.25,4,91
1,F,3.75,4,91
1,F,4,4,91
1,F,4.5,4,91
1,F,6,5,91
1,M,6.25,5,91
1,M,4.75,5,91
1,F,4.75,5,91
0,F,2.5,5,91
1,F,3.5,3,92
1,M,3.75,3,92
1,F,3.75,3,92
0,M,3.75,5,93
0,F,3.75,5,93
0,F,3.5,5,93
0,F,2.75,5,93
1,F,4.75,5,97
1,M,4.25,5,97
0,M,3.25,5,97
0,F,3.25,5,97
1,F,3.25,5,97
1,M,3.75,5,97
1,M,3,5,97
1,M,2.5,5,97
1,M,5,5,97
0,M,5,5,97
1,F,3.5,5,97
1,M,4,5,97
0,F,3.75,5,97
1,F,2.5,5,97
1,F,5.5,3,98
1,F,4.5,3,98
1,M,5,3,98
1,F,3.5,3,99
1,M,3.5,3,99
1,F,3,3,99
1,M,4.5,3,99
1,M,3.5,3,99
1,F,4,3,99
1,F,4,5,99
1,M,4.75,5,99
1,F,4.25,5,99
0,M,2.5,5,99
0,F,2.5,5,99
0,M,5.5,4,100
1,M,5.25,4,100
1,M,3.5,4,100
0,M,2.75,4,100
1,M,6,3,100
0,M,5.5,3,100
0,M,4,3,101
0,F,3.5,3,101
0,M,2.5,3,101
1,M,2.5,5,103
1,F,2.75,5,103
0,M,2.5,5,103
0,M,2.25,5,103
0,F,2,5,103
1,M,3.75,4,104
1,F,4.25,4,104
0,F,3.5,4,104
0,F,2,4,104
1,F,4.5,4,105
1,M,4,4,105
1,F,3,4,105
