Fledglings,EggNo,Age
0,1,1
0,2,1
0,2,1
1,2,1
0,3,1
0,4,1
0,4,1
0,4,1
3,4,1
0,4,1
0,4,1
1,4,1
1,4,1
4,4,1
2,4,1
3,5,1
2,5,1
2,5,1
0,6,1
5,6,1
1,6,1
0,6,1
3,6,1
4,6,1
0,6,1
0,7,1
4,7,1
5,7,1
1,7,1
4,8,1
0,8,1
2,8,1
3,8,1
4,8,1
0,8,1
4,8,1
5,8,1
4,8,1
4,9,1
2,9,1
3,9,1
4,9,1
5,9,1
1,9,1
4,10,1
4,10,1
5,10,1
4,10,1
2,10,1
4,11,1
6,11,1
4,11,1
3,12,1
4,12,1
3,12,1
4,12,1
5,13,1
2,13,1
4,13,1
3,14,1
5,14,1
1,15,1
3,15,1
0,18,1
8,20,1
0,3,2
0,4,2
0,4,2
0,4,2
3,5,2
2,5,2
4,6,2
3,6,2
1,6,2
0,7,2
1,7,2
0,7,2
3,8,2
2,8,2
5,9,2
3,9,2
6,9,2
4,9,2
2,9,2
4,10,2
7,10,2
5,10,2
2,10,2
0,10,2
2,10,2
3,10,2
2,10,2
6,10,2
1,10,2
3,10,2
4,11,2
4,11,2
4,11,2
4,11,2
4,12,2
2,12,2
0,12,2
3,12,2
5,12,2
2,13,2
6,13,2
4,13,2
5,13,2
6,13,2
4,13,2
5,13,2
6,14,2
0,14,2
8,14,2
4,14,2
6,14,2
5,15,2
2,15,2
0,16,2
0,16,2
3,16,2
10,16,2
5,19,2
7,20,2
0,1,3
2,3,3
1,4,3
3,4,3
1,4,3
1,4,3
0,5,3
2,6,3
2,7,3
5,8,3
1,9,3
6,9,3
5,10,3
5,10,3
3,11,3
6,11,3
4,11,3
6,12,3
6,13,3
1,13,3
3,13,3
4,13,3
0,13,3
7,13,3
7,14,3
6,14,3
7,14,3
7,14,3
5,15,3
8,15,3
7,16,3
10,23,3
7,10,4
3,10,4
4,12,4
6,14,4
6,17,4
3,18,4
6,21,4
