BirdID,Sex,Tarsus,BillL,BillW,Tail,Wing,Weight
TA14502,F,18.43333333,13.26666667,6.533333333,51.76666667,71.56666667,27.96666667
TA14505,F,18.1,13,6.133333333,57.33333333,76.5,27.4
TA14506,F,18.45,13.05,6.2,55.5,75,25.15
TA14507,F,18.15,13.15,6.35,57,75,26.1
TA14509,M,18.2,13.05,6.25,59.875,78.25,25.175
TA14513,F,17.36666667,12.7,6.133333333,55.33333333,74.4,24.83333333
TA14516,M,18.9,13.35,6.85,60,84,29.65
TA14518,M,19.16666667,13.56666667,6.766666667,60,81.83333333,29.4
TA14522,F,18.45,13.35,6.35,56.65,76.9,27.6
TA14525,F,19.2,13.96666667,6.3,57.33333333,78,28.06666667
TA14528,M,16.96666667,12.23333333,6.1,56.9,78.33333333,25.5
TA14529,M,20.23333333,14.13333333,6.566666667,62.1,83,30.2
TA14530,F,19.05,13.225,6.95,58,77.5,28.525
TA14531,M,20.125,12.925,6.825,59.75,79.825,31
TA14532,F,20.55,13.7,6.525,58.125,78.125,30.55
TA14541,M,17.75,12.95,6.7,62,80.5,26
TA14548,F,18.825,14.375,6.7,57.375,73.5,26.25
TA14549,F,18.2,13.33333333,6.633333333,56,75.33333333,26.26666667
TA14553,M,18.66666667,13.63333333,6.466666667,58.5,79.33333333,28
TA14554,F,19.15,13.225,6.275,55.625,75.75,29.475
TA14561,F,18.5,13.93333333,6.466666667,56.5,76.76666667,27.03333333
TA14565,F,18.65,13.275,6.475,53.95,75.2,25.9
TA14571,M,19.1,12.8,6.6,61.35,81.85,27.95
TA14573,M,19.125,13.125,6.375,61.125,82.75,29.7
TA14574,M,18.4,13,6.55,61.25,81.1,26.65
TA14581,M,18.2,13.06666667,6.433333333,58.33333333,78.5,26.93333333
TA14586,F,18.5,13.3,6.4,57.56666667,78.325,26.2
TA14598,M,18.5,14.73333333,6.466666667,59.5,78.33333333,27.5
TA14599,M,19.4,14.1,7,57.75,78.85,29.5
TA14600,F,18.5,13.8,6.333333333,56.66666667,76.33333333,28.23333333
TA14601,F,19.25,12.8,6.325,59.33333333,77.925,26.325
TA14604,F,19.26666667,13.7,6.233333333,59.83333333,78.66666667,29.76666667
TA14606,F,17.325,11.95,6.3,56.3,75.375,27.1
TA14607,F,18.45,12.6,6.25,58.5,77.5,27.95
TA14608,F,18.4,13.3,6.8,57,74.5,28.15
TA14610,F,17.7,13.3,6.7,57.25,75.25,26.2
TA14612,M,19.05,12.7,6.6,61.5,80.5,26.9
TA14630,M,18.4,13.4,6.6,55,78,26.9
TA14638,F,19.76666667,13.93333333,6.6,59.33333333,80.5,32.36666667
TA14644,M,19.86666667,12.83333333,6.433333333,57.5,79,28.06666667
TA14645,F,19.075,12.6,6.125,55.625,76.125,26.65
