ChickNo,Sex,Survival,Mass2,BroodSize,HatchingSuccess,EggNo,JulianDate,Dad,Mum,BroodNo,Year
CC0002,F,1,,,,,,TA14526,TA14525,C001,2003
CC0005,M,1,,,,,,VX04326,VX04473,C003,2003
CC0006,M,1,,,,,,VX04326,VX04473,C003,2003
CC0007,F,1,,,,,,VX04326,VX04473,C003,2003
CC0008,M,1,,,,,,VV78215,TA14530,C004,2003
CC0009,F,1,,,,,,VV78215,TA14530,C004,2003
CC0011,M,1,,,,,,VX04208,TA14548,C005,2003
CC0012,F,1,,,,,,VX04208,TA14548,C005,2003
CC0013,F,1,,,,,,VX04406,VX04252,C006,2003
CC0014,M,1,,,,,,VX04406,VX04252,C006,2003
CC0015,M,1,,,,,,VX04364,TA14608,C007,2003
CC0016,F,1,,,,,,TA14531,VX04471,C008,2003
CC0017,F,1,,,,,,TA14531,VX04471,C008,2003
CC0018,F,1,,,,,,VX04325,VX04222,C009,2003
CC0019,M,1,,,,,,VX04325,VX04222,C009,2003
CC0020,F,1,,,,,,VX04325,VX04222,C009,2003
CC0021,F,1,,,,,,VX04325,VX04222,C009,2003
CC0022,M,1,,,,,,VX04349,TA14507,C010,2003
CC0023,F,1,,,,,,VX04349,TA14507,C010,2003
CC0030,F,1,,,,,,VS50139,TA14613,C012,2003
CC0031,M,1,,,,,,VS50139,TA14613,C012,2003
CC0032,M,1,,,,,,VX04391,TA14502,C013,2003
CC0033,M,1,,,,,,VX04422,VX04228,C015,2003
CC0034,F,1,,,,,,VX04422,VX04228,C015,2003
CC0035,F,1,,,,,,VX04229,VX04319,C016,2003
CC0036,F,1,,,,,,VX04229,VX04319,C016,2003
CC0037,F,1,,,,,,VX04229,VX04319,C016,2003
CC0038,F,0,,,4,,,TA14574,TA14601,C017,2003
CC0039,F,0,,,4,,,TA14574,TA14601,C017,2003
CC0040,F,0,,,4,,,TA14574,TA14601,C017,2003
CC0041,M,0,,,4,,,TA14574,TA14601,C017,2003
CC0042,F,1,,,,,,TA14509,TA14566,C018,2003
CC0043,M,0,,,2,,,VX04378,TA14565,C019,2003
CC0044,F,0,,,2,,,VX04378,TA14565,C019,2003
CC0046,M,0,,,1,,,VX04353,VX04311,C021,2003
CC0050,F,1,,2,2,3,,VX04306,TA14610,C023,2003
CC0051,F,1,,2,2,3,,VX04306,TA14610,C023,2003
CC0052,M,0,,,4,5,,VX04276,VX04319,C024,2003
CC0053,F,0,,,4,5,,VX04276,VX04319,C024,2003
CC0054,F,0,,,4,5,,VX04276,VX04319,C024,2003
CC0056,F,0,,,4,5,,VX04229,TA14584,C025,2003
CC0058,M,0,,,,,,VX04376,VX04292,C026,2003
CC0059,F,0,,,,,,VX04376,VX04292,C026,2003
CC0060,M,1,,,,,,VK73747,VX04213,C027,2003
CC0061,M,1,,,,,,VK73747,VX04213,C027,2003
CC0062,F,1,,,,,,VK73747,VX04213,C027,2003
CC0063,F,1,,,3,4,47,TA14630,TA14645,C028,2003
CC0069,F,0,,,3,4,48,VS06794,VS50141,C030,2003
CC0070,M,1,,,3,4,48,VS06794,VS50141,C030,2003
CC0073,M,0,,,,,,TA14552,TA14513,C032,2003
CC0074,F,0,,,5,5,49,VX04276,VX04319,C033,2003
