BirdID,Sex,Tarsus,BillL,BillW,Tail,Wing,Weight,wc,wbar,wdev
TA14502,F,18.8,13.1,6.5,52.3,72.7,26.8,-0.7649237472766863,0.4017429193899815,-1.1666666666666679
TA14502,F,18.2,13.3,6.6,51.0,71.0,27.3,-0.2649237472766863,0.4017429193899815,-0.6666666666666679
TA14502,F,18.3,13.4,6.5,52.0,71.0,29.8,2.2350762527233137,0.4017429193899815,1.8333333333333321
TA14505,F,18.1,13.0,6.3,58.0,75.0,30.0,2.435076252723313,-0.1649237472766849,2.599999999999998
TA14505,F,18.0,13.2,6.1,57.0,77.5,26.4,-1.1649237472766885,-0.1649237472766849,-1.0000000000000036
TA14505,F,18.2,12.8,6.0,57.0,77.0,25.8,-1.7649237472766863,-0.1649237472766849,-1.6000000000000014
TA14506,F,18.1,13.3,6.3,55.0,75.0,25.7,-1.8649237472766877,-2.4149237472766885,0.5500000000000007
TA14506,F,18.8,12.8,6.1,56.0,75.0,24.6,-2.9649237472766856,-2.4149237472766885,-0.5499999999999972
TA14507,F,18.1,13.3,6.5,56.0,74.0,25.8,-1.7649237472766863,-1.4649237472766856,-0.3000000000000007
TA14507,F,18.2,13.0,6.2,58.0,76.0,26.4,-1.1649237472766885,-1.4649237472766856,0.29999999999999716
TA14509,M,18.1,13.3,6.4,59.5,78.0,26.3,-1.2649237472766863,-2.3899237472766863,1.125
TA14509,M,18.1,13.2,6.3,59.0,77.0,25.3,-2.2649237472766863,-2.3899237472766863,0.125
TA14509,M,18.2,12.3,6.2,60.0,79.0,25.1,-2.4649237472766856,-2.3899237472766863,-0.07499999999999929
TA14509,M,18.4,13.4,6.1,61.0,79.0,24.0,-3.564923747276687,-2.3899237472766863,-1.1750000000000007
TA14513,F,17.1,12.8,6.3,54.0,73.5,24.8,-2.7649237472766863,-2.731590413943355,-0.03333333333333144
TA14513,F,17.4,12.9,6.1,56.0,74.7,24.5,-3.064923747276687,-2.731590413943355,-0.33333333333333215
TA14513,F,17.6,12.4,6.0,56.0,75.0,25.2,-2.3649237472766877,-2.731590413943355,0.36666666666666714
TA14516,M,18.8,13.2,6.6,60.0,80.0,28.0,0.43507625272331296,2.0850762527233115,-1.6499999999999986
TA14516,M,19.0,13.5,7.1,60.0,88.0,31.3,3.7350762527233137,2.0850762527233115,1.6500000000000021
TA14518,M,19.4,13.8,6.8,60.0,80.0,29.4,1.8350762527233115,1.835076252723315,-3.552713678800501e-15
TA14518,M,18.8,13.5,6.9,59.0,84.5,30.6,3.0350762527233144,1.835076252723315,1.1999999999999993
TA14518,M,19.3,13.4,6.6,61.0,81.0,28.2,0.6350762527233123,1.835076252723315,-1.2000000000000028
TA14522,F,18.5,13.5,6.3,58.3,77.8,26.8,-0.7649237472766863,0.03507625272331438,-0.8000000000000007
TA14522,F,18.4,13.2,6.4,55.0,76.0,28.4,0.8350762527233115,0.03507625272331438,0.7999999999999972
TA14525,F,19.2,14.0,6.5,57.0,78.0,27.6,0.03507625272331438,0.5017429193899794,-0.466666666666665
TA14525,F,19.2,13.9,6.4,56.0,77.0,27.8,0.23507625272331367,0.5017429193899794,-0.2666666666666657
TA14525,F,19.2,14.0,6.0,59.0,79.0,28.8,1.2350762527233137,0.5017429193899794,0.7333333333333343
TA14528,M,16.9,12.5,6.3,56.7,79.0,25.3,-2.2649237472766863,-2.064923747276687,-0.1999999999999993
TA14528,M,16.9,12.0,6.0,55.0,77.0,25.5,-2.064923747276687,-2.064923747276687,0.0
TA14528,M,17.1,12.2,6.0,59.0,79.0,25.7,-1.8649237472766877,-2.064923747276687,0.1999999999999993
TA14529,M,20.2,13.9,6.7,61.3,82.0,29.1,1.5350762527233144,2.6350762527233123,-1.0999999999999979
TA14529,M,20.2,14.1,6.5,62.0,83.0,30.6,3.0350762527233144,2.6350762527233123,0.40000000000000213
TA14529,M,20.3,14.4,6.5,63.0,84.0,30.9,3.3350762527233115,2.6350762527233123,0.6999999999999993
TA14530,F,19.1,13.4,7.0,58.0,77.0,26.8,-0.7649237472766863,0.9600762527233115,-1.7249999999999979
TA14530,F,19.0,13.0,7.0,55.0,77.0,29.3,1.7350762527233137,0.9600762527233115,0.7750000000000021
TA14530,F,19.1,13.0,6.8,60.0,78.0,29.0,1.435076252723313,0.9600762527233115,0.4750000000000014
TA14530,F,19.0,13.5,7.0,59.0,78.0,29.0,1.435076252723313,0.9600762527233115,0.4750000000000014
TA14531,M,20.0,12.7,6.8,59.0,80.3,30.3,2.7350762527233137,3.435076252723313,-0.6999999999999993
TA14531,M,20.0,13.0,7.1,57.0,76.0,30.3,2.7350762527233137,3.435076252723313,-0.6999999999999993
TA14531,M,20.3,12.7,6.5,61.0,82.0,31.6,4.035076252723314,3.435076252723313,0.6000000000000014
TA14531,M,20.2,13.3,6.9,62.0,81.0,31.8,4.235076252723314,3.435076252723313,0.8000000000000007
TA14532,F,20.4,14.0,6.5,57.0,77.0,29.9,2.3350762527233115,2.98507625272331,-0.6499999999999986
TA14532,F,20.2,13.5,6.9,56.0,77.0,29.3,1.7350762527233137,2.98507625272331,-1.2499999999999964
TA14532,F,20.8,13.6,6.6,59.5,78.5,30.4,2.8350762527233115,2.98507625272331,-0.14999999999999858
TA14532,F,20.8,13.7,6.1,60.0,80.0,32.6,5.035076252723314,2.98507625272331,2.0500000000000043
TA14541,M,17.5,12.9,6.7,61.0,80.0,27.0,-0.564923747276687,-1.564923747276687,1.0
TA14541,M,18.0,13.0,6.7,63.0,81.0,25.0,-2.564923747276687,-1.564923747276687,-1.0
TA14548,F,18.8,14.3,6.9,57.0,75.5,26.6,-0.9649237472766856,-1.314923747276687,0.3500000000000014
TA14548,F,18.7,13.9,6.9,57.0,75.0,25.8,-1.7649237472766863,-1.314923747276687,-0.4499999999999993
TA14548,F,18.8,14.7,6.5,57.5,76.5,27.1,-0.4649237472766856,-1.314923747276687,0.8500000000000014
TA14548,F,19.0,14.6,6.5,58.0,67.0,25.5,-2.064923747276687,-1.314923747276687,-0.75
TA14549,F,18.2,13.3,6.6,56.0,75.0,28.4,0.8350762527233115,-1.2982570806100213,2.133333333333333
TA14549,F,18.0,13.9,6.8,54.0,75.0,26.0,-1.564923747276687,-1.2982570806100213,-0.2666666666666657
TA14549,F,18.4,12.8,6.5,58.0,76.0,24.4,-3.1649237472766885,-1.2982570806100213,-1.8666666666666671
TA14553,M,18.9,14.0,6.5,57.0,80.0,26.8,-0.7649237472766863,0.43507625272331296,-1.1999999999999993
TA14553,M,19.0,13.4,6.5,,78.0,28.0,0.43507625272331296,0.43507625272331296,0.0
TA14553,M,18.1,13.5,6.4,60.0,80.0,29.2,1.6350762527233123,0.43507625272331296,1.1999999999999993
TA14554,F,19.0,13.6,6.4,56.0,76.0,28.4,0.8350762527233115,1.9100762527233144,-1.0750000000000028
TA14554,F,19.2,13.1,6.3,53.0,74.0,32.8,5.23507625272331,1.9100762527233144,3.3249999999999957
TA14554,F,19.0,13.0,6.3,56.5,77.0,28.1,0.5350762527233144,1.9100762527233144,-1.375
TA14554,F,19.4,13.2,6.1,57.0,76.0,28.6,1.0350762527233144,1.9100762527233144,-0.875
TA14561,F,18.5,13.9,6.7,55.5,76.3,28.2,0.6350762527233123,-0.5315904139433556,1.1666666666666679
TA14561,F,18.4,14.0,6.6,55.0,76.0,26.8,-0.7649237472766863,-0.5315904139433556,-0.23333333333333073
TA14561,F,18.6,13.9,6.1,59.0,78.0,26.1,-1.4649237472766856,-0.5315904139433556,-0.93333333333333
TA14565,F,18.7,13.1,6.4,54.8,74.8,25.6,-1.9649237472766856,-1.664923747276685,-0.3000000000000007
TA14565,F,18.4,13.1,6.6,52.0,74.0,25.9,-1.6649237472766885,-1.664923747276685,-3.552713678800501e-15
TA14565,F,18.8,13.3,6.4,55.0,76.0,26.9,-0.6649237472766885,-1.664923747276685,0.9999999999999964
TA14565,F,18.7,13.6,6.5,54.0,76.0,25.2,-2.3649237472766877,-1.664923747276685,-0.7000000000000028
TA14571,M,19.3,12.6,6.5,61.7,81.7,27.1,-0.4649237472766856,0.3850762527233158,-0.8500000000000014
TA14571,M,18.9,13.0,6.7,61.0,82.0,28.8,1.2350762527233137,0.3850762527233158,0.8499999999999979
TA14573,M,19.1,13.4,6.5,60.0,82.5,29.0,1.435076252723313,2.1350762527233123,-0.6999999999999993
TA14573,M,18.5,12.8,6.3,59.0,81.0,29.8,2.2350762527233137,2.1350762527233123,0.10000000000000142
TA14573,M,19.2,13.3,6.3,62.5,83.5,29.8,2.2350762527233137,2.1350762527233123,0.10000000000000142
TA14573,M,19.7,13.0,6.4,63.0,84.0,30.2,2.6350762527233123,2.1350762527233123,0.5
TA14574,M,18.4,13.1,6.7,60.5,80.5,25.7,-1.8649237472766877,-0.9149237472766885,-0.9499999999999993
TA14574,M,18.4,12.9,6.4,62.0,81.7,27.6,0.03507625272331438,-0.9149237472766885,0.9500000000000028
TA14581,M,18.2,13.0,6.5,57.5,78.0,26.7,-0.8649237472766877,-0.6315904139433499,-0.23333333333333783
TA14581,M,18.1,13.1,6.3,58.5,78.5,28.5,0.935076252723313,-0.6315904139433499,1.5666666666666629
TA14581,M,18.3,13.1,6.5,59.0,79.0,25.6,-1.9649237472766856,-0.6315904139433499,-1.3333333333333357
TA14586,F,18.4,13.1,6.4,58.7,78.3,27.5,-0.06492374727668704,-1.3649237472766877,1.3000000000000007
TA14586,F,18.4,13.2,6.5,55.0,77.5,23.5,-4.064923747276687,-1.3649237472766877,-2.6999999999999993
TA14586,F,18.5,13.5,6.4,59.0,79.0,27.5,-0.06492374727668704,-1.3649237472766877,1.3000000000000007
TA14586,F,18.7,13.4,6.3,,78.5,26.3,-1.2649237472766863,-1.3649237472766877,0.10000000000000142
TA14598,M,18.4,14.7,6.3,59.5,78.0,27.8,0.23507625272331367,-0.06492374727668704,0.3000000000000007
TA14598,M,18.5,14.8,6.5,59.0,78.0,27.0,-0.564923747276687,-0.06492374727668704,-0.5
TA14598,M,18.6,14.7,6.6,60.0,79.0,27.7,0.13507625272331225,-0.06492374727668704,0.1999999999999993
TA14599,M,19.4,14.0,6.9,60.5,79.7,30.0,2.435076252723313,1.935076252723313,0.5
TA14599,M,19.4,14.2,7.1,55.0,78.0,29.0,1.435076252723313,1.935076252723313,-0.5
TA14600,F,18.5,14.1,6.5,55.0,75.0,28.5,0.935076252723313,0.6684095860566472,0.2666666666666657
TA14600,F,18.4,13.5,6.4,57.0,78.0,28.0,0.43507625272331296,0.6684095860566472,-0.23333333333333428
TA14600,F,18.6,13.8,6.1,58.0,76.0,28.2,0.6350762527233123,0.6684095860566472,-0.03333333333333499
TA14601,F,19.3,13.1,6.3,59.0,78.7,27.0,-0.564923747276687,-1.2399237472766877,0.6750000000000007
TA14601,F,19.4,13.0,6.5,,76.0,25.5,-2.064923747276687,-1.2399237472766877,-0.8249999999999993
TA14601,F,19.2,12.1,6.3,60.0,78.0,25.3,-2.2649237472766863,-1.2399237472766877,-1.0249999999999986
TA14601,F,19.1,13.0,6.2,59.0,79.0,27.5,-0.06492374727668704,-1.2399237472766877,1.1750000000000007
TA14604,F,19.0,14.1,6.4,58.0,78.0,29.0,1.435076252723313,2.2017429193899822,-0.7666666666666693
TA14604,F,19.4,13.6,6.3,60.5,79.0,30.7,3.1350762527233123,2.2017429193899822,0.93333333333333
TA14604,F,19.4,13.4,6.0,61.0,79.0,29.6,2.0350762527233144,2.2017429193899822,-0.16666666666666785
TA14606,F,17.3,12.1,6.4,55.7,75.0,27.5,-0.06492374727668704,-0.4649237472766856,0.3999999999999986
TA14606,F,17.3,11.8,6.5,55.5,74.0,27.5,-0.06492374727668704,-0.4649237472766856,0.3999999999999986
TA14606,F,17.3,11.9,6.1,57.0,75.5,27.3,-0.2649237472766863,-0.4649237472766856,0.1999999999999993
TA14606,F,17.4,12.0,6.2,57.0,77.0,26.1,-1.4649237472766856,-0.4649237472766856,-1.0
TA14607,F,18.5,12.8,6.1,58.0,77.0,28.0,0.43507625272331296,0.38507625272331225,0.05000000000000071
TA14607,F,18.4,12.4,6.4,59.0,78.0,27.9,0.33507625272331154,0.38507625272331225,-0.05000000000000071
TA14608,F,18.5,,,,75.0,27.3,-0.2649237472766863,0.5850762527233115,-0.8499999999999979
TA14608,F,18.3,13.3,6.8,57.0,74.0,29.0,1.435076252723313,0.5850762527233115,0.8500000000000014
TA14610,F,17.7,13.1,7.0,55.5,74.5,27.6,0.03507625272331438,-1.3649237472766842,1.3999999999999986
TA14610,F,17.7,13.5,6.4,59.0,76.0,24.8,-2.7649237472766863,-1.3649237472766842,-1.4000000000000021
TA14612,M,19.0,12.3,6.7,62.0,80.0,26.8,-0.7649237472766863,-0.6649237472766885,-0.09999999999999787
TA14612,M,19.1,13.1,6.5,61.0,81.0,27.0,-0.564923747276687,-0.6649237472766885,0.10000000000000142
