pond,days,length
Q1,11.6,12.337
Q1,14.87,11.561
Q1,18.22,13.364
Q1,5.55,9.951
Q1,21.37,15.017
Q1,21.05,14.731
Q1,21.53,15.924
Q1,11.08,12.335
Q2,26.65,18.531
Q2,25.12,15.161
Q2,23.76,14.791
Q2,14.2,14.001
Q2,20.04,18.0
Q2,21.11,15.232
Q3,7.35,9.805
Q3,11.49,12.384
Q3,16.79,12.156
Q3,28.22,19.455
Q3,23.19,15.821
Q3,7.12,9.855
Q3,6.98,11.623
Q3,25.33,16.473
Q3,18.35,14.061
Q4,21.33,15.915
Q4,25.57,15.01
Q4,12.26,11.836
Q4,17.13,13.054
Q4,24.34,17.421
Q4,12.26,14.388
Q5,27.3,17.468
Q5,25.16,18.905
Q5,11.21,13.094
Q5,7.75,10.709
Q5,16.96,11.414
Q5,10.07,11.472
