pond,days,length
Q1,16.27,14.894
Q1,9.45,11.825
Q1,8.35,9.656
Q1,24.61,17.131
Q1,16.18,14.818
Q1,9.72,10.796
Q1,23.45,17.245
Q2,12.43,11.784
Q2,9.48,11.175
Q2,7.12,11.174
Q2,5.55,11.036
Q2,24.01,17.042
Q2,16.43,13.177
Q2,26.51,18.311
Q2,10.51,11.384
Q3,21.78,14.701
Q3,26.85,18.239
Q3,11.17,12.368
Q3,10.85,12.414
Q3,25.65,18.087
Q3,17.25,13.707
Q4,9.71,13.622
Q4,15.67,13.5
Q4,21.71,16.122
Q4,27.17,19.141
Q4,8.33,10.904
Q4,18.63,14.246
Q5,10.13,9.531
Q5,12.81,12.992
Q5,10.63,11.689
Q5,14.67,13.558
Q5,13.12,10.213
Q5,19.59,14.702
Q5,10.62,10.169
Q5,8.37,8.882
Q5,22.01,13.652
