pond,days,length
P01,26.18,17.62
P01,8.99,11.486
P01,24.59,16.355
P01,11.39,11.468
P01,10.11,11.427
P01,12.92,12.511
P01,20.81,16.182
P01,29.32,18.219
P02,23.1,17.836
P02,8.26,12.007
P02,9.31,9.62
P02,11.27,13.393
P02,23.86,17.195
P02,29.45,18.581
P02,18.75,13.831
P02,29.28,17.557
P02,12.78,14.088
P02,21.32,15.109
P03,6.76,9.229
P03,12.49,11.63
P03,10.01,11.871
P03,29.82,20.265
P03,14.08,10.812
P03,6.84,9.061
P03,6.34,9.811
P03,14.77,13.0
P04,24.16,16.859
P04,17.8,12.775
P04,11.55,12.616
P04,12.05,11.928
P04,25.39,18.711
P04,26.27,17.458
P04,9.56,11.393
P04,25.67,15.555
P04,9.91,10.089
P04,15.43,14.046
P04,22.62,16.484
P04,6.94,12.21
P05,18.19,16.398
P05,6.08,11.198
P05,5.51,12.191
P05,16.07,18.032
P05,20.97,18.47
P05,21.22,19.487
P05,23.78,19.535
P05,24.67,18.645
P05,23.44,19.128
P05,12.22,14.24
P05,8.51,13.972
P06,23.7,16.035
P06,5.03,10.104
P06,8.36,11.604
P06,14.83,13.642
P06,27.21,17.178
P06,21.25,16.961
P06,12.92,14.018
P06,24.21,17.138
P06,20.84,16.289
P07,6.41,10.15
P07,11.73,11.604
P07,14.65,11.962
P07,15.6,13.156
P07,9.41,10.014
P07,11.53,11.554
P07,22.54,18.058
P07,17.06,12.846
P07,29.28,17.833
P07,21.62,15.488
P08,12.05,11.497
P08,10.09,9.633
P08,9.02,11.188
P08,14.83,13.033
P08,21.23,13.625
P08,21.67,14.348
P08,15.6,13.18
P08,25.82,16.407
P08,11.97,9.92
P08,19.52,13.628
P08,12.43,11.707
P09,9.48,13.43
P09,17.82,16.082
P09,24.1,18.106
P09,9.09,11.897
P09,7.29,12.152
P09,21.79,16.684
P09,7.35,12.739
P09,25.06,18.225
P09,22.61,15.019
P09,20.35,15.217
P09,12.97,13.321
P10,22.51,14.348
P10,15.2,12.314
P10,27.5,16.94
P10,16.35,14.56
P10,10.71,11.3
P10,19.93,13.829
P10,6.87,10.369
P10,29.98,15.894
P10,22.38,13.872
P10,16.66,12.905
P11,25.58,15.997
P11,29.3,18.168
P11,21.66,15.064
P11,10.0,11.152
P11,29.44,17.298
P11,19.91,13.171
P11,22.17,12.315
P11,14.74,13.156
P12,20.57,13.69
P12,18.8,16.371
P12,15.16,12.544
P12,17.15,12.72
P12,5.42,10.222
P12,16.96,16.205
P12,24.23,15.51
P12,10.99,12.652
P12,14.71,13.673
